title|date|body_text|url
NAKOWA MATERNITY ANNEX COMMISSIONED AND HANDED OVER TO THE COMMUNITY.|2025-12-24|NAKOWA MATERNITY ANNEX COMMISSIONED AND HANDED OVER TO THE COMMUNITY. Nakowa residential area in Zimba Ward has received a major boost in maternal healthcare following the commissioning of the Nakowa Maternity Annex by Mapatizya Member of Parliament, Hon. Emeldah Munashabantu. Speaking during the commissioning ceremony, Hon. Munashabantu said the new facility marks an important milestone in improving access to safe and quality maternal health services for women in Nakowa and surrounding communities. She explained that the maternity annex will help decongest Zimba Mission Hospital by bringing essential maternity services closer to the people, thereby saving time, reducing costs, and ultimately saving lives. Hon. Munashabantu revealed that the facility is fully equipped with a water reticulation system and solar power, ensuring uninterrupted service delivery. She urged the community to take ownership of the facility and protect it from vandalism, emphasizing that it belongs to the people and will benefit current and future generations. She further stated that the project was made possible through the enhanced Constituency Development Fund (CDF), which she said has enabled the government to address historical development gaps in previously neglected communities. The MP assured residents of Nakowa that more development projects are still in the pipeline for the area. During her address, Hon. Munashabantu also announced that CDF funds have been allocated to improve the water supply at the mothers’ shelter at Zimba Mission Hospital. Additionally, she disclosed that funds amounting to K 800,000 have been allocated to the Southern Water Supply and Sanitation Company to extend water services to Treasure Compound as part of efforts to address long-standing water challenges. The Nakowa Maternity Annex was constructed at a cost of K1.5 million, while the accompanying water system, which will also benefit the surrounding community, cost K270,000. Hon. Munashabantu attributed the visible development in Mapatizya Constituency to responsible leadership under President Hakainde Hichilema and strong collaboration with local leadership. She called on the community to work together in safeguarding public investments to ensure they continue to improve people’s lives. The commissioning ceremony was attended by the District Commissioner, the Council Secretary was represented by Director health services, traditional leaders, senior government officials, health personnel, members of the press, and residents of Nakowa and nearby areas. Published December 24, 2025 By Mastone Moonze Categorized as Uncategorized|https://www.zimbacouncil.gov.zm/?p=3792
CDF BRINGS JOY TO KAMUKKEZA VILLAGE AS 60 YEARS WITHOUT A HEALTH FACILITY COMES TO AN END.|2025-12-24|CDF BRINGS JOY TO KAMUKKEZA VILLAGE AS 60 YEARS WITHOUT A HEALTH FACILITY COMES TO AN END. The Government has officially handed over a maternity annex in Kamukkeza Village, bringing relief to residents who for many years were forced to walk over 20 kilometres to access maternal health services. The facility was commissioned by Mapatizya Member of Parliament, Honourable Emeldah Munashabantu, and is expected to serve a population of about 6,000 people. Hon. Munashabantu described the maternity annex as a gift to the people of Kamukkeza Village, noting that the community is among the settlers who were relocated to pave way for the construction of the Kariba Dam decades ago. She said the project demonstrates the Government’s commitment to addressing historical challenges faced by marginalized communities. Meanwhile, Zimba Town Council Chairperson, Madam Loveness Chigora, urged the community to safeguard the facility against vandalism, emphasizing that it had taken many years for the area to acquire such an important health infrastructure. She further reaffirmed the Council’s commitment to delivering quality primary health services through its health department. District Commissioner Robinson Mulamfu commended Government for remembering the people of Kamukkeza Village through the Constituency Development Fund (CDF). He said CDF projects in Zimba District are being implemented in needy areas in a manner that appears almost miraculous due to their impact on people’s lives. Zimba Town Council Secretary, Mr. Collins Simoonga, also praised the community for working closely with the local authority to ensure the successful completion of the project. Several government officials, political leaders, and community members attended the commissioning ceremony, which marked the handover of the first-ever health facility in Kamukkeza Village. The maternity annex was constructed at a total cost of K2,099,616.03 under the Constituency Development Fund (CDF). Published December 24, 2025 By Mastone Moonze Categorized as Uncategorized|https://www.zimbacouncil.gov.zm/?p=3782
ZIMBA’S TREASURE COMPOUND SET TO BENEFIT FROM K800,000 CDF WATER PROJECT|2025-12-24|ZIMBA’S TREASURE COMPOUND SET TO BENEFIT FROM K800,000 CDF WATER PROJECT Southern Water and Sanitation Company in Zimba district has been funded through constituency Development Fund to implement a long-awaited water supply project in Treasure Compound, an area that has experienced chronic water shortages for decades. Mapatizya Member of Parliament, Hon. Emeldah Munashabantu, today graced the ground-breaking ceremony for the project, which is scheduled to commence this month. The scope of works includes the laying and connection of water pipes, installation of a booster pump, construction of a tank stand, and erection of a 10,000-cubic-litre water tank. The pipeline will run approximately three kilometres from the main treatment plant to Treasure Compound and is expected to benefit about 8,000 residents. The project will cost K800,000 and will be implemented over a period of 60 days. As part of community involvement, Zimba Town Council has recruited 30 local residents to take part in excavation and backfilling works along the pipeline route. Speaking during the ceremony, Hon. Munashabantu described the project as a major milestone and the beginning of a lasting solution to the water challenges that Treasure Compound has faced for many years. The Member of Parliament was accompanied by CDF Chairperson Mr. Victor Sindowe, Ward Councillor Cllr. Anne Mutunda, and other community leaders. Published December 24, 2025 By Mastone Moonze Categorized as Uncategorized|https://www.zimbacouncil.gov.zm/?p=3777
MAPATIZYA LAW MAKER IMPRESSED WITH 2025 CDF ROAD WORKS|2025-11-25|Mapatizya Member of Parliament, Emeldah Munashabantu Nkhata, has described the ongoing road rehabilitation works in the constituency as a success, commending the government for allocating funds towards the improvement of feeder roads. Speaking during an inspection of works on Muzya and Ackson Sejani Roads, Hon. Nkhata said the Constituency Development Fund (CDF) is proving to be a visible transformation tool in uplifting communities.She expressed gratitude to the people of Mapatizya for encouraging leadership to procure key machinery such as a grader, compactor, tipper truck and TLB, which have eased the process of road rehabilitation. The construction of Muzya Road is part of the K3.2 million allocated under the 2025 CDF programme. Before moving to Muzya Road, engineers had commenced works on township roads within the Central Business District. The current works are targeting to extend the road up to Muzya Primary School and beyond. The lawmaker was accompanied by Mapatizya Constituency Chairperson, Mr. Victor Sindowe, Zimba Ward Councillor, Cllr. Anne Mutunda, and the Council’s Director of Human Resource and Administration, Mr. Vincent Mwansa, who represented the Council Secretary. Meanwhile, the local authority has just completed the facelifting of Ackson Sejani Road, which connects to Kabanga Market, further opening up Mapatizya Constituency.|https://www.zimbacouncil.gov.zm/?p=3205
SIX LOCAL COMPANIES WIN CONTRACTS FOR 2025 COMMUNITY CDF PROJECTS.|2025-11-25|SIX LOCAL COMPANIES WIN CONTRACTS FOR 2025 COMMUNITY CDF PROJECTS. Zimba Town Council yesterday held a signing ceremony for the 2025 Constituency Development Fund (CDF) projects, marking yet another milestone in the Government’s commitment to improving social infrastructure and uplifting local communities. A total of six local contractors were officially awarded contracts to undertake various community projects across the district. The awarded projects include,Construction of a 1×3 Classroom Block at Siakasipa Community School in Kanyanga Ward Contractor:Size Entreprizes,Construction of a 1×3 Classroom Block at Siameja Community School in Mangonda Ward Contractor,Lushann Powers Investment Ltd,Construction of a 1×3 Science Laboratory at Simalundu Secondary School in Siamafumba Ward Contractor, Tonacha General Dealers,Construction of a 1×3 Classroom Block at Simundivwi Secondary School in Chidi Ward Contractor,Sternab Enterprise,Construction of a Health Post at Mafumba in Mafumba Ward Contractor,Zamtrek Contractors,Construction of a Rural Health Centre at Misika Village in Simwatachela Ward Contractor,Unlimited Eagle Contractors. Speaking during the ceremony, Council Secretary Mr. Collins Simoonga commended the Government for continuing to empower local contractors through the CDF programme, saying the initiative has strengthened local economic participation and job creation. “The Local Authority will not hesitate to terminate contracts for any contractor who fails to adhere to the agreed terms and quality standards,” he warned. One of the contractors, Ms. Annie Namwala Chuulu, Director of Lushann Powers Investment Ltd, expressed gratitude to the Government for promoting gender inclusion in the construction sector. Another contractor, Mr. Thomas Chatwa, Director of Tonacha General Dealers, emphasized his company’s readiness to execute the project at Simalundu Secondary School. The commencement of works for the six projects had earlier faced delays due to administrative processes, which have since been resolved. With the signing concluded, all contractors are expected to mobilize and commence works immediately. Zimba Town Council remains committed to ensuring that all CDF projects are implemented efficiently and transparently for the benefit of the people of Zimba District. Published November 25, 2025 By Mastone Moonze Categorized as Uncategorized|https://www.zimbacouncil.gov.zm/?p=3193
ZIMBA COUNCIL LAUNCHES A PLANT FIVE FRUIT TREES INITIATIVE AT HOUSEHOLD LEVEL|2025-11-25|The Department of Agriculture services at Zimba Town Council has rolled out an ambitious “Plant a Minimum of Five Fruit Trees” initiative aimed at strengthening food, nutrition, and income security while promoting a greener environment. The programme was officially launched by the District Commissioner (DC)Mr.Robinson Mulamfu who was represented by the District Agriculture Officer (DAO) Mr.Lishomwa Mwendabai. In his keynote address, the DC underscored the importance of the initiative, noting that fruit-tree planting will enhance community resilience against the adverse effects of climate change while contributing to afforestation and reducing deforestation in the district. He further urged the local authority to mainstream the planting of at least five fruit trees in all Constituency Development Fund (CDF) projects and other construction works undertaken within the district. The DC also appealed to traditional leaders to champion the initiative by ensuring that every household under their leadership plants fruit trees. Council Chairperson Madam Loveness Chigora echoed the significance of the programme, stating that the practice of planting fruit trees is not only environmentally beneficial but also supported biblically. She said the initiative will broaden nutrition sources for the general public and create opportunities for income generation. The Council Secretary shared similar sentiments, emphasising the long-term community benefits. Representing Chief Sipatunyamana, Mr. Sindowe reaffirmed the commitment of the traditional leadership to work closely with the government and the council to ensure the initiative takes root in both Sipatunyana and Simwatachela chiefdoms. He highlighted the critical role parents play in instilling tree-planting habits in their children to secure a greener future. The initiative is expected to contribute significantly to environmental sustainability and improved livelihoods across the district as households and institutions embrace the culture of fruit-tree planting.|https://www.zimbacouncil.gov.zm/?p=3152
ZIMBA TOWN COUNCIL HOLDS FULL COUNCIL MEETING|2025-11-23|ZIMBA TOWN COUNCIL HOLDS FULL COUNCIL MEETING Zimba, October 30, 2025 — Zimba Town Council today held its Full Council Meeting in the Council Chamber to deliberate on key developmental programmes and Government policy initiatives aimed at fostering sustainable growth and enhancing service delivery across the district. The meeting commenced with a moment of silence in honour of the late Mr. Ackson Sejani, former Chairperson of the Local Government Service Commission and former Member of Parliament for Mapatizya Constituency, in recognition of his distinguished and selfless service to the nation. In her address, Council Chairperson Madam Loveness Chigora urged Councillors and stakeholders to actively mobilize residents for the ongoing mass voter registration exercise, emphasizing the importance of civic participation in strengthening democracy. She further called for unity of purpose in achieving district development goals and underscored the need to expedite the implementation of Constituency Development Fund (CDF) projects while ensuring strict monitoring and accountability to prevent misuse of empowerment grants. Meanwhile, Council Secretary Mr. Collins Simoonga reported that most 2025 CDF projects are currently under procurement. He also acknowledged reports of defective boreholes in some wards and assured the meeting that corrective measures are being undertaken to ensure all works meet the required standards. Mr. Simoonga announced that the township roads have been graded to a distance of 7 kilometers, covering sections from the railway line along the T1 (Lusaka–Livingstone Road) to the Agriculture Offices, the Level Crossing to Treasure Compound, and from T1 to Muzya Stream. Works on Muzya Road have so far covered an additional 6 kilometers. He further added that the local authority completed works on the Ackson Sejani Road, linking Mapatizya Road through to Kabanga Market, covering a total distance of 87 kilometers. Providing an update on the agricultural sector, District Director of Agriculture Services Mr. Duncan Nyirongo informed the meeting that Zimba District received 8,525 input packs under the Farmer Input Support Programme (FISP), of which over 1,300 have already been redeemed. He cautioned agro-dealers against exploiting farmers and appealed to Councillors to report any cases of malpractice. The Council reaffirmed its unwavering commitment to transparency, accountability, and inclusive development, reiterating its dedication to improving the welfare and livelihoods of all residents in the district. The ordinary Council meeting was attended by His Royal Highness Chief Sipatunyana, Heads of Government Departments, Councilors, and community representatives. Published November 23, 2025 By Kevin Kawina Categorized as Uncategorized|https://www.zimbacouncil.gov.zm/?p=3092
MULAMFWU WALKS TALL WITH CLIMATE CHANGE FIGHT USING CDF|2025-05-03|MULAMFWU WALKS TALL WITH CLIMATE CHANGE FIGHT USING CDF We are proud to announce the successful commissioning of 20 climate-resilient water pumps in Mulamfwu Ward, an initiative aimed at enhancing resilience against climate in our communities. The Member of Parliament for Mapatizya Constituency, Hon. Emelda Munashabantu Nkhata led a team of community and government leaders in handing over the water pumps to five zones of the ward. This milestone marks a significant step forward in our commitment to improving access to safe and reliable water for the citizens to produce food all year round. The newly installed water pumps are designed to withstand the challenges posed by climate change, ensuring long-term sustainability and water security for the people of Mulamfwu Ward. Government continues to demonstrate unwavering dedication to addressing the needs of our citizens. This project reflects government’s proactive approach to both climate resilience and rural development. We thank all stakeholders, local leaders, and the community members who played a part in bringing this vital project to life. Together, we are building a stronger, healthier, and more sustainable future for Mapatizya. Published May 3, 2025 By Kevin Kawina Categorized as Uncategorized|https://www.zimbacouncil.gov.zm/?p=2490
MAPATIZYA MP COMMISSIONS CDF CONSTRUCTED 1×3 CLASSROOM BLOCKS IN MANGONDA AND KANYANGA WARD|2025-05-03|MAPATIZYA MP COMMISSIONS CDF CONSTRUCTED 1×3 CLASSROOM BLOCKS IN MANGONDA AND KANYANGA WARD Mapatizya Member of Parliament Emelda Munashabantu Nkhata, tofficially hands over completed Classroom blocks project funded under the Constituency Development Fund (CDF) to the Muzya and Nkungwa communities. The projects are part of the government’s ongoing commitment to improving infrastructure and enhancing service delivery at the grassroots level using the fund. Speaking during the handover ceremony, the lawmaker reiterated the importance of transparency and community involvement in developmental projects. “This project is a testament to what we can achieve when resources are managed effectively as a team and with the people in mind,” She said. And Council Chairperson Madam Loveness Chigora echoed the sentiment, emphasizing the local authority’s role in ensuring such initiatives meet the needs of residents. “Our goal is to foster sustainable development that empowers communities like Muzya and Nkungwa,” she noted. The District Education Board Secretary Mr.Munasu expressed gratitude for the development, highlighting how the project will positively impact the education sector in the district. The government remains committed to decentralization and equitable distribution of resources, with CDF projects like this serving as key instruments in achieving that vision. The 1×3 Classroom blocks in Nkungwa and Muzya zones are also electrified with the solar system and 90 desks. Published May 3, 2025 By Kevin Kawina Categorized as Uncategorized|https://www.zimbacouncil.gov.zm/?p=2477
GOVERNMENT TRAINS LOCAL AUTHORITIES IN WEBSITE AND CDF DASHBOARD CONTENT MANAGEMENT|2024-12-20|Government through the Ministry of Local Government and Rural has invited 20 Local Authorities for Training on website and CDF Dashboard content management . Zimba Town Council is among the local authorities undergoing intensive training. The Ministry of local government and rural development has established websites for all the local authorities in the country, coupled with the CDF dashboard to provide information to the public and eventually promote transparency in public service. The workshop is part of the developed digital strategy-2023 to 2026 aimed at attaining the digital agenda 2030. Zimba Town is represented by the Director planning Ms.Annet Hamachili, Socio-economic planner Ms.Mainza Maambo, ICT Programmer Mr.Kelvin Kawina and Assistant Public Relations Officer Mr.Mastone Moonze. The workshop consisting of councils from Lusaka and Southern Provinces is being held at Mika Convention center in Chongwe district.|https://www.zimbacouncil.gov.zm/?p=2304
ZIMBA TOWN COUNCIL PRESENTS THE 2025 BUDGET|2024-12-20|Zimba Town Council Secretary Mr. Collins Simoonga has officially presented the proposed budget estimates of revenue and expenditures for the year 2025, at the ongoing national budget hearing for local authorities. The principal officer made the budget presentation amounting to K,87,070,380 this afternoon at the Lusaka Legacy resort in Chongwe district ,where 21 local authorities are gathered for the budget hearing. The budget outlines how K 21.9 million will be channeled towards CDF Community Projects such as construction of infrastructures and grading of roads in Mapatizya Constituency 6.2 million Youth and Women Empowerment, another K 6.2 million has been allocated to both Secondary boarding School and Skills development bursaries in order to enhance quality education and reduce illiteracy levels within the district. Further, Local Governance program has received an allocation of K1.6 million, while K153,517 will be channeled towards the community engagements, the Integrated Development Planning has been allocated K1.6 million, Economic and Business Development has received an allocation of K498,222, Public Health and Environment protection will be funded a sum of K430,639. The total budget estimates for Zimba Town Council has increased by 67 percent from last year’s K 60 million due to the increased CDF allocation from K30.6 million to K36.0 million, also an increment of Devolved Function Grants from 460,328.93 to K18.7 million, an increase in the Cash For Work program and the Zambia Devolution Support Grant from World bank which has also increased from K3.7 million to K8.3 million. The ongoing National budget hearing for local authorities was held in Chongwe, Kabwe and Mpika districts from 9th to the 13th of December,2025.|https://www.zimbacouncil.gov.zm/?p=2083
GOVERNMENT DRILLS FIVE CLIMATE RESILIENCE BOREHOLES IN MAPATIZYA CONSTITUENCY|2024-12-18|The Government through Zimba Town Council has intensified the drilling and equipping of climate resilient industrial boreholes funded under the 2024 constituency development fund in Mapatizya Constituency.|https://www.zimbacouncil.gov.zm/?p=2071
GOVERNMENT DISBURSES OVER K1 MILLION 2024 CDF LOANS IN MAPATIZYA CONSTITUENCY|2024-09-24|G overnment through Zimba Town Council has disbursed a total of K1,746,232.59 as loans allocated under the 2024 Constituency Development Fund (CDF) empowerment component to 31 benefitiaries drawn from across Mapatizya Constituency. The Zimba Council Chairperson Madam Loveness Chigora graced the ceremony that also included an intensive training of benefitiaries in financial management on Wednesday this week. Ms.Chigora is confident that the funds given out to the people will help boost businesses for the beneficiaries and be able to improve the local economy. And Council Secretary Mr.Collins Simoonga says the disbursement of loans to the people of Mapatizya,is an achievement that should be appreciated by not only benefitiaries but every citizen in the entire constituency. The Principal officer advised benefitiaries to put the funds to good use in order to help the government carry on with empowerment program. The Constituency Development Fund Committee Chairperson Mr.Joe Bbumelo says the people that acquire loans should improve on servicing their loans. And Zimba ward councilor Mrs.Anne Mutunda says the people that have benefitted from this year’s loans should set a different example in servicing their loans by adhering to the conditions attached. Meanwhile,2024 CDF loan beneficiary Mr.Aumbi Mabbalani commended the new dawn government for considering improving the lives of the people through giving out some loans to the people in the community. Other dignitaries that witnessed the awarding of loans to benefitiaries are Zimba Town Council Director of Finance Mr.Sandona Lizendi,Indo Zambia Bank Zimba branch Manager Mr.Joe Miyanda, representatives of Chiefs Sipatunyana and Simwatachela Mr.Victor Sindowe and Mr.Mate respectively.|https://www.zimbacouncil.gov.zm/?p=1689
HEALTH MINISTER IMPRESSED WITH IMPLEMENTATION OF PRESIDENTIAL DIRECTIVE ON HEALTH CARES SERVICES IN ZIMBA DISTRICT|2024-09-03|HEALTH MINISTER IMPRESSED WITH IMPLEMENTATION OF PRESIDENTIAL DIRECTIVE ON HEALTH CARES SERVICES IN ZIMBA DISTRICT The Minister of Health Dr. Elijah Muchima, yesterday led a high powered delegation of senior government officers from the Ministry in conducting a familiarization tour of Zimba mission Hospital and Nursing school. The Minister was impressed with the implementation of the Presidential directive in constructing maternity annexes connected with running water. Dr.Muchima commended the management of Zimba mission Hospital and the Nursing school for upholding professionalism and hygiene levels at the two facilities. He acknowledged the submission by the district health department on need for more midwifery personnel to be deployed all the health facilities across the district. Dr. Muchima says the terrain and geographic set up of Zimba district deserves an ambulance to respond to numerous health care needs. The Minister says the government has procured ambulances for all the constituencies using the Constituency Development Fund,and Mapatizya is expected to receive one this year. He emphasized the need to motivate health workers through confirmations and promotions in order to enhance health care services in the Ministry. The Minister further revealed that the government is making plans to install solar power systems at all health facilities across the country in order to address power outages caused by load management. Dr.Muchima further requested civic leaders to support the health practitioners working in various rural health centres so that they deliver for the people especially that the new dawn government has put health care services as the first priority. He has since assured the nation that the government is fully stocked up to date with essential drugs to serve the citizenry. The Health Minister was accompanied with the two permanent secretaries in charge of Administration and Technical services Prof.Christopher Simoonga and Dr.Kennedy Lishimpi respectively. Others are the Heads of Departments from the Province and district, District commissioner Robinson Mulamfwu and Council Chairperson Madam Loveness. PUBLIC RELATIONS UNIT Published September 3, 2024 By Kevin Kawina Categorized as Uncategorized|https://www.zimbacouncil.gov.zm/?p=1518
GOVERNMENT INJECTS OVER K200, 000 TO ADDRESS WATER CRISIS AT ZIMBA SECONDARY SCHOOL|2024-05-07|Government has injected K240,000 to drill a 200-meter-deep industrial borehole at Zimba Secondary School, aimed at resolving the water crisis that threatened to disrupt the second term. The project has been financed through the 5% disaster component of the Constituency Development Fund (CDF) to address sanitation challenges at the school and create a healthy learning environment for students. According to District Commissioner and Chairperson of the Disaster Management Committee, Mr. Robson Mulamfwu, the government responded promptly to the situation after witnessing the struggles of pupils who had to walk long distances outside the school boundaries to access safe and clean water in residential areas. Mr. Mulamfwu commended the Mapatizya Constituency Development Committee for facilitating the allocation of funds to resolve the situation at the secondary school. He added that surrounding communities will also benefit from the drilled water facility, while the government continues to seek funds to drill more industrial boreholes in Treasure, Malambo, and Namadula areas. Zimba, a district in Southern Province with a low water table, has seen few industrial boreholes succeed in supplying water to households in the urban area, making this intervention crucial for the community.|https://www.zimbacouncil.gov.zm/?p=1479
GOVERNMENT ORIENTS MAPATIZYA COUNCILORS ON DECENTRALIZATION & PROCUREMENT PROCESSES.|2024-04-23|GOVERNMENT ORIENTS MAPATIZYA COUNCILORS ON DECENTRALIZATION & PROCUREMENT PROCESSES. Government through Zimba Town Council has successfully conducted orientation training for all the 12 ward councilors in Mapatizya constituency with an objective of equipping them with knowledge on the implementation of the decentralization policy. The exercise which is held in the Council Chambers is aimed at making trainees understand the importance of decentralization policy in serving the people in their wards. In his opening remarks, Provincial Local Government Officer ,Mr.Charleston Hamulyata reminded councilors that the constitution recognize them as key components in delivering development through a decentralized system of governance. He explains that effective actualization of the policy, requires a clear definition of roles and relationships of institutions involved to avoid duplication and conflict. Mr.Mr.Hamulyata says decentralization is a program that involves changes in power relationship between central and local levels of government. The Provincial Local Government Officers-PLGO says a Successfull implementation of the decentralization policy is dependent on political will from councilors and other politicians in order for the citizens to embrace and understand the devolved power , responsibility and resources. Mr.Hamulyata emphasized that government demands a serious and honest approach in implementing Constituency Development Funded Projects in all wards based on the people’s needs. The training is also being attended by the Council Chairperson Ms.Loveness Chigora, Council Secretary Mr.Christopher Siasinyanga , Heads of Departments and other members of staff. Published April 23, 2024 By Mastone Moonze Categorized as Uncategorized|https://www.zimbacouncil.gov.zm/?p=1467
2022 MAPATIZYA CDF COMMUNITY PROJECTS COMPLETED|2023-11-27|The 2022 Constituency Development Funded – CDF community projects in Mapatizya Constituency have been completed awaiting commissioning. Zimba Town Council is impressed with the implementation of some projects financed under the 2022 allocation of CDF. The CDF committee have been monitoring CDF projects and commended the works done by the contractors. Some of the projects completed and ready for commissioning are: 1. Construction of 1×3 classroom blocks at Muziya Primary School in Mangonda ward. 2. Construction of 1×3 Classroom block at Nkungwa Primary School in Kanyanga Ward. 3. Construction of Clinics in Mulamfwu and Mbwiko wards. 4. Construction of a 1×3 Classroom block at Cikuyu Primary School in Chalimongela ward.|https://www.zimbacouncil.gov.zm/?p=982
SCHOOLS FROM FIVE WARDS EMPOWERED WITH SANITATION FACILITIES IN MAPATIZYA CONSTITUENCY|2023-11-21|Environment Africa Zambia has dedicated today’s commemoration of International Day of Children’s in launching the installation of boreholes, bathing shelters for girl-children and VIP Toilets in Zimba District. Environment Africa WASH officer Mr. Haggai Mendai says the sanitary facilities that the organization is putting up in Zimba symbolize its commitment to creating a child-friendly community that values the rights and well-being of the young people. The Organization has been working in five wards of Zimba district namely Mbwiko, Chalimongela, Simwatachela, Luyaba and Mangonda with special attention to improving Agriculture, sanitation, environment protection, children’s rights and climate change. Zimba District Commissioner Mr. Robson Mulamfwu graced the occasion and emphasized the need to protect the rights of children as government has placed great importance on the walfare of the young people in the district. He further spelt out the government’s commitment to protecting children’s rights through the implementation of various policies such as the introduction of free education, distribution of desks and the construction of classroom blocks under the Constituency Development Fund-CDF. In a speech read on her behalf by Mapatizya Primary School Headteacher Mr. Orbit Munanku, Zimba District Education Board Secretary Ms. Inonge Rita says today’s commemoration of children’s rights should act as a wake up call for the country to serious consider the rights of the young people. She said pupils and the entire Mapatizya Primary School and community were having difficulties in accessing clean water, but the coming of the water system funded by the Environment Africa will help improve sanitation at the school. Zimba District today joined the rest of the world in commemorating the international day of children rights commemorated under the theme ” RENEWING OUR PROMISE FOR CHILDREN’S RIGHTS where all Heads of government Departments,Zimba Town Council, Traditional leaders and other stakeholders gathered at Mapatizya Primary School to commemorate the day. Visit our Zimba Town Council Website: www.zimbacouncil.gov.zm for more news and information https://m.facebook.com/story.php?story_fbid=pfbid02TMDSqiQXDb2hqyj9xaowzo3njHfpavZYiyC6QRkKhrUmMfn8f1R6md1dCNm3sXqql&id=100064780956458&mibextid=2JQ9oc|https://www.zimbacouncil.gov.zm/?p=963
GOVERNMENT LAUNCH THE DISTRIBUTION OF CDF DESKS, AWARDING OF OVER 5 MILLION KWACHA WORTH OF GRANTS AND LOANS IN MAPATIZYA CONSTITUENCY.|2023-11-02|Government through Zimba Town Council has launched the distribution of 2, 620 desks procured under the 2022 and part of the 2023 allocation of the Constituency Development Fund – CDF to all the schools in Mapatizya Constituency. The ceremony which was held in Kabanga area today, also saw 92 Clubs, Coorperatives and individual companies benefitting from grants and loans respectively. Mapatizya Member of Parliament Emelda Munashabantu, says the distribution of 2, 620 desks procured at K 2, 887,051 is a direct response to the increasing number of pupils that was necessitated by the coming back to school of more children due to the implementation of the free education policy. The lawmaker further advised the beneficiaries of grants and loans to prudently use the funds and venture into profitable businesses that can improve their lives and also the communities that they belong to. And Zimba Council Chairperson Madam Loveness Chigora, says the distribution of desks to the schools will undoubtedly enhance the quality education and improve the learning environment for young learners in the district. The Council Chairperson emphasized that the giving out of CDF loans and grants to the citizens is a new dawn Government’s vision to create an enabling business environment for entrepreneurship, skills development and economic growth. Meanwhile, Zimba District Commissioner Mr. Rabson Mulamfwu, says the distribution of desks is a positive response to President Hakainde Hichilema’s directive of not seeing any pupil sitting on the floor in class by the end of the year 2024. Mr. Mulamfwu has advised the beneficiaries of loans and grants to undertake the businesses and help government realise it’s vision of having an economically stable nation. A total of K2, 93, 400 was disbursed as loans to 26 cooperatives and individual companies while K 2, 143, 990 grant was awarded to 65 Women and Youth Clubs. The empowerment of grants and loans was derived from the 2023 allocation of CDF, while the procurement of desks is a combination of 2022 and 2023 funding. Issued by: Zimba Town Council Public Relations Unit|https://www.zimbacouncil.gov.zm/?p=911
